agency,url,type,pricing_model,focus,platforms,references,conditions,followers,status,description,notes,departments,legal_form,location,country,founding_year,source_urls,checked_at,verified_fields
Studio71,https://www.studio71.de/,unknown,unknown,"Entertainment, Influencer Marketing, Content-Produktion",,,,,unknown,"Digitales Entertainment-Netzwerk für Produktion, Distribution und Monetarisierung von Creator-Inhalten.",,,,,unknown,,https://www.studio71.de/,2026-09-11,"agency, url, focus, description"
Influencer Marketing Factory,https://theinfluencermarketingfactory.com/,unknown,unknown,"Influencer Marketing, UGC, Creator Management",,,,,unknown,"Internationale Agentur für Influencer-Kampagnen, UGC, Paid Advertising und Talent Management; kein DACH-Büro in der geprüften Standortliste.",,,,"Miami, New York",International,,https://theinfluencermarketingfactory.com/about-us/|https://theinfluencermarketingfactory.com/contact-us/,2026-09-11,"agency, url, focus, description, location, country"
Pulse Advertising,https://www.pulse-advertising.com/,unknown,unknown,"Influencer Marketing, Social Media, Social Commerce",,,,,unknown,"Agentur für Social-Media-Strategie, Influencer-Kampagnen und Social Commerce.",,,,"Hamburg, Berlin",DE,,https://www.pulse-advertising.com/|https://www.pulse-advertising.com/contact/,2026-09-11,"agency, url, focus, description, location, country"
Talenthouse,https://www.talenthouse.com,unknown,unknown,"Kreativplattform, Content-Produktion",,,,,unknown,Als internationale Plattform für kreative Auftragsarbeit und Zusammenarbeit mit Marken dokumentiert. Eine aktuelle Tätigkeit als Creator-Management-Agentur ist nicht bestätigt.,"Die bisherige Website war bei der Prüfung nicht erreichbar. Quellen belegen das Plattformprofil, nicht den heutigen Betrieb. Aus dem Abruffehler wird keine Schließung abgeleitet.",,,,unknown,,https://uk.linkedin.com/company/talenthouse|https://creative-commission.com/talenthouse,2026-09-12,"agency, focus, description"
United Creators OLP,https://www.unitedcreators.net/,unknown,unknown,"Social Media, Strategie, Workshops, Online-Learning",,,,,unknown,"United Creators OLP GmbH bietet Social-Media-Beratung, Workshops, Online-Seminare und Webentwicklung an. Das Impressum nennt Christoph Krachten und Laura Pagan.",Der Eintrag beschreibt ausdrücklich die belegte OLP GmbH. Eine Gleichsetzung mit United Creators PMB GmbH oder eine Bestätigung des früher behaupteten Gaming-Talentmanagements erfolgt nicht. Die alte Domain unitedcreators.de war unbelegt.,,GmbH,Berlin,DE,,https://www.unitedcreators.net/|https://www.unitedcreators.net/seite/impressum/,2026-09-12,"agency, url, focus, description, legal_form, location, country"
InfluencerDB,https://www.influencerdb.com,unknown,unknown,Influencer-Marketing-Software,,,,,inactive,Ehemalige Influencer-Marketing-Software; laut eigenem Unternehmensprofil eingestellt.,,,,,unknown,,https://www.linkedin.com/company/influencerdb/,2026-09-11,"agency, focus, description, status"
LunyOne,https://lunyone.de/,unknown,unknown,"Gaming, Tech, Lifestyle, Influencer Marketing","TikTok, Instagram, YouTube, Twitch",,,,unknown,"Influencer-Kampagnen und Creator Management im DACH-Raum; weitere Themen sind Reise, Bildung und Sport.",,,,,unknown,,https://lunyone.de/,2026-09-11,"agency, url, focus, description, platforms"
Spiel & Drang,https://spielunddrang.com/,unknown,unknown,"Gaming, Esports, Influencer Marketing",,,,,unknown,"Agentur für Games- und Esports-Marketing in Deutschland, Österreich und der Schweiz.",,,,,unknown,,https://spielunddrang.com/,2026-09-11,"agency, url, focus, description"
Dexport,https://dexport.com/,unknown,unknown,"Social Media, Influencer Marketing, E-Commerce",,,,,unknown,Niederländische Marketingagentur mit Schwerpunkt auf dem deutschen Markt; bietet auch Social-Media- und Influencer-Marketing.,,,,"Bunnik, Amsterdam",International,,https://dexport.com/en/|https://dexport.com/aanvraag/,2026-09-11,"agency, url, focus, description, location, country"
desyre.AI,https://desyre-ai.com/,unknown,unknown,"KI-Produktion, Content-Produktion, VFX",,,,,unknown,"Die bisherige Agenturadresse führt zu desyre.AI, einem Studio für KI-gestützte Bild- und Videoproduktion sowie 3D, CGI und VFX für Marken.",,,,Dubai,International,,https://desyre.agency/|https://desyre-ai.com/|https://desyre-ai.com/imprint,2026-09-11,"agency, url, focus, description, location, country"
